Adress_agence,CodePostal_agence,Non_agence,Pays,Price,Tel_agence,Titre_annonce,Ville,m2_total,url
 CH - 3963 CRANS-MONTANA ,3963, TRADITION CHALET SA,Switzerland,"€ 12,125,000",+ 41 79 625 61 41,Chalet with panoramic view and terrace,Crans-Montana ,1000,https://properties.lefigaro.com/announces/chalet-real+estate-properties+for+sale-switzerland/13769231/
" Rua do Estádio, Quinta da Bela Vista,Lote A-12, Lojas A/B 12 A ",, CENTURY 21 REALTY ART,Portugal,"€ 400,000",+351 964 727 005 - +351 289 583 060,Apartment,Albufeira ,143,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18770571/
 Rua Maria Vicencia do Vale n° 20 Praia d'Aréia BrancaLourinha ,, ATLANTIC HOME,Portugal,"€ 532,800",0033 6 29 79 32 29,Property with pool and garden,Vale de Santarém ,13680,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-portugal/18769297/
 Rua Maria Vicencia do Vale n° 20 Praia d'Aréia BrancaLourinha ,, ATLANTIC HOME,Portugal,"€ 750,000",0033 6 29 79 32 29,Manoir,Guimaraes ,9500,https://properties.lefigaro.com/announces/manoir-real+estate-properties+for+sale-portugal/18771433/
" 15, Avenue Paul Doumer 75016 Paris 16th ",75016, MARC FOUJOLS - Portugal,Portugal,"€ 935,000",+33 (0)1 53 70 00 08,Apartment,Lisbon ,109,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18775969/
 Rua Maria Vicencia do Vale n° 20 Praia d'Aréia BrancaLourinha ,, ATLANTIC HOME,Portugal,"€ 1,100,000",0033 6 29 79 32 29,Property with pool and garden,Sintra ,9440,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-portugal/18769403/
 REAL ESTATE BROKERAGE S.A.R.L.51 boulevard Grande-Duchesse CharlotteLuxembourg ,, ENGEL & VÖLKERS LUXEMBOURG,Luxembourg,"€ 2,575,000",+352 28 26 17 27,Villa,Niederanven ,342,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-lux/18770265/
" 15, Avenue Paul Doumer 75016 Paris 16th ",75016, MARC FOUJOLS - Portugal,Portugal,"€ 449,400",+33 (0)1 53 70 00 08,Apartment,Lisbon ,62,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18775971/
 Rua Maria Vicencia do Vale n° 20 Praia d'Aréia BrancaLourinha ,, ATLANTIC HOME,Portugal,"€ 695,000",0033 6 29 79 32 29,Property with pool and garden,Vidigueira ,60000,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-portugal/18771507/
" 15, Avenue Paul Doumer 75016 Paris 16th ",75016, MARC FOUJOLS - Portugal,Portugal,"€ 620,000",+33 (0)1 53 70 00 08,Apartment,Lisbon ,97,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18775973/
" 15, Avenue Paul Doumer 75016 Paris 16th ",75016, MARC FOUJOLS - Portugal,Portugal,"€ 1,170,000",+33 (0)1 53 70 00 08,Apartment,Lisbon ,111,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18775981/
 4 rue de Saint VictorGeneve ,, EMILE GARCIN - SUISSE,Switzerland,"€ 4,350,000",+41 22 702 02 30,House,Geneva ,440,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-switzerland/18776117/
" 15, Avenue Paul Doumer 75016 Paris 16th ",75016, MARC FOUJOLS - Portugal,Portugal,"€ 1,520,000",+33 (0)1 53 70 00 08,Apartment,Lisbon ,146,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18775977/
" 15, Avenue Paul Doumer 75016 Paris 16th ",75016, MARC FOUJOLS - Portugal,Portugal,"€ 1,449,000",+33 (0)1 53 70 00 08,Apartment,Lisbon ,170,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18775975/
